year,day,stars,position,seconds
2015,4,2,36,555
2015,4,2,37,557
2015,4,2,38,569
2015,4,2,39,575
2015,4,2,40,576
2015,4,2,41,577
2015,4,2,42,590
2015,4,2,43,614
2015,4,2,44,624
2015,4,2,45,627
2015,4,2,46,629
2015,4,2,47,631
2015,4,2,48,633
2015,4,2,49,636
2015,4,2,50,667
2015,4,2,51,690
2015,4,2,52,694
2015,4,2,53,696
2015,4,2,54,697
2015,4,2,55,698
2015,4,2,56,698
2015,4,2,57,711
2015,4,2,58,714
2015,4,2,59,715
2015,4,2,60,724
2015,4,2,61,731
2015,4,2,62,731
2015,4,2,63,734
2015,4,2,64,734
2015,4,2,65,737
2015,4,2,66,742
2015,4,2,67,744
2015,4,2,68,756
2015,4,2,69,757
2015,4,2,70,784
2015,4,2,71,791
2015,4,2,72,793
2015,4,2,73,801
2015,4,2,74,804
2015,4,2,75,808
2015,4,2,76,818
2015,4,2,77,820
2015,4,2,78,854
2015,4,2,79,858
2015,4,2,80,859
2015,4,2,81,883
2015,4,2,82,886
2015,4,2,83,887
2015,4,2,84,887
2015,4,2,85,896
2015,4,2,86,901
2015,4,2,87,910
2015,4,2,88,911
2015,4,2,89,920
2015,4,2,90,927
2015,4,2,91,931
2015,4,2,92,936
2015,4,2,93,942
2015,4,2,94,954
2015,4,2,95,967
2015,4,2,96,969
2015,4,2,97,969
2015,4,2,98,972
2015,4,2,99,975
2015,4,2,100,985
2015,4,1,1,115
2015,4,1,2,143
2015,4,1,3,146
2015,4,1,4,176
2015,4,1,5,215
2015,4,1,6,239
2015,4,1,7,243
2015,4,1,8,255
2015,4,1,9,264
2015,4,1,10,264
2015,4,1,11,267
2015,4,1,12,273
2015,4,1,13,279
2015,4,1,14,281
2015,4,1,15,289
2015,4,1,16,290
2015,4,1,17,292
2015,4,1,18,300
2015,4,1,19,315
2015,4,1,20,333
2015,4,1,21,350
2015,4,1,22,352
2015,4,1,23,355
2015,4,1,24,365
2015,4,1,25,365
2015,4,1,26,366
2015,4,1,27,379
2015,4,1,28,380
2015,4,1,29,398
2015,4,1,30,402
2015,4,1,31,404
2015,4,1,32,408
2015,4,1,33,430
2015,4,1,34,439
2015,4,1,35,453
2015,4,1,36,459
2015,4,1,37,460
2015,4,1,38,464
2015,4,1,39,465
2015,4,1,40,467
2015,4,1,41,476
2015,4,1,42,479
2015,4,1,43,480
2015,4,1,44,492
2015,4,1,45,496
2015,4,1,46,500
2015,4,1,47,520
2015,4,1,48,528
2015,4,1,49,530
2015,4,1,50,539
2015,4,1,51,542
2015,4,1,52,546
2015,4,1,53,552
2015,4,1,54,558
2015,4,1,55,562
2015,4,1,56,563
2015,4,1,57,580
2015,4,1,58,589
2015,4,1,59,591
2015,4,1,60,593
2015,4,1,61,607
2015,4,1,62,610
